timestamp,device_eui,device_name,device_type,site_name,latitude,longitude,payload,water_level,air_temp,battery_volt,water_temp,status
2022-12-17 17:50:59.169362+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b300000d6426ac0000,295.0,0.0,3.43,99.0,0
2022-12-17 18:06:39.616856+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08af00000dcc26ac0000,299.0,0.0,3.53,99.0,0
2022-12-17 18:22:18.580224+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b300000d9426ac0000,295.0,0.0,3.48,99.0,0
2022-12-17 19:09:18.051162+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b200000d6826ac0000,296.0,0.0,3.43,99.0,0
2022-12-17 19:24:58.746369+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b300000d7c26ac0000,295.0,0.0,3.45,99.0,0
2022-12-17 19:40:37.373499+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b400000da426ac0000,294.0,0.0,3.49,99.0,0
2022-12-17 19:56:18.979909+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b300000d7426ac0000,295.0,0.0,3.44,99.0,0
2022-12-17 20:11:58.413833+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b500000dc426ac0000,293.0,0.0,3.52,99.0,0
2022-12-17 20:27:38.540689+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b100000d7c26ac0000,297.0,0.0,3.45,99.0,0
2022-12-17 20:43:17.657583+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b400000dd026ac0000,294.0,0.0,3.54,99.0,0
2022-12-17 20:58:57.562291+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b200000dcc26ac0000,296.0,0.0,3.53,99.0,0
2022-12-17 21:14:37.350174+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b300000d7026ac0000,295.0,0.0,3.44,99.0,0
2022-12-17 21:30:17.111845+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b200000dd426ac0000,296.0,0.0,3.54,99.0,0
2022-12-17 21:45:57.694395+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b500000da026ac0000,293.0,0.0,3.49,99.0,0
2022-12-17 22:01:36.576478+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b400000da426ac0000,294.0,0.0,3.49,99.0,0
2022-12-17 22:17:15.718647+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b300000dcc26ac0000,295.0,0.0,3.53,99.0,0
2022-12-17 22:32:56.544585+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b400000dcc26ac0000,294.0,0.0,3.53,99.0,0
2022-12-17 22:48:36.606726+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b300000d8826ac0000,295.0,0.0,3.46,99.0,0
2022-12-17 23:04:16.403129+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b200000d9c26ac0000,296.0,0.0,3.48,99.0,0
2022-12-17 23:19:56.069008+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b100000d7426ac0000,297.0,0.0,3.44,99.0,0
2022-12-17 23:35:36.088224+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b300000da026ac0000,295.0,0.0,3.49,99.0,0
2022-12-17 23:51:14.699536+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b100000d6026ac0000,297.0,0.0,3.42,99.0,0
2022-12-18 00:06:55.131181+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b300000d6c26ac0000,295.0,0.0,3.44,99.0,0
2022-12-18 00:22:35.174662+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b600000dac26ac0000,292.0,0.0,3.5,99.0,0
2022-12-18 00:38:17.864457+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08bb00000d6c26ac0000,287.0,0.0,3.44,99.0,0
2022-12-18 00:53:57.548953+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08ba00000d6826ac0000,288.0,0.0,3.43,99.0,0
2022-12-18 01:09:37.810752+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08ba00000dc426ac0000,288.0,0.0,3.52,99.0,0
2022-12-18 01:25:17.427342+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08be00000d6026ac0000,284.0,0.0,3.42,99.0,0
2022-12-18 01:40:56.769322+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08bf00000d5c26ac0000,283.0,0.0,3.42,99.0,0
2022-12-18 01:56:36.436641+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08bf00000da426ac0000,283.0,0.0,3.49,99.0,0
2022-12-18 02:12:16.246411+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08bf00000da826ac0000,283.0,0.0,3.5,99.0,0
2022-12-18 02:27:56.262852+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08be00000dcc26ac0000,284.0,0.0,3.53,99.0,0
2022-12-18 02:59:19.030523+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08bb00000dc426ac0000,287.0,0.0,3.52,99.0,0
2022-12-18 03:14:59.033106+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08ba00000d5c26ac0000,288.0,0.0,3.42,99.0,0
2022-12-18 03:30:39.116485+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b700000db426ac0000,291.0,0.0,3.51,99.0,0
2022-12-18 03:46:19.407629+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b600000d6026ac0000,292.0,0.0,3.42,99.0,0
2022-12-18 04:01:59.370332+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b600000dc026ac0000,292.0,0.0,3.52,99.0,0
2022-12-18 04:17:38.325200+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b600000d9826ac0000,292.0,0.0,3.48,99.0,0
2022-12-18 04:33:19.206252+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b700000d6826ac0000,291.0,0.0,3.43,99.0,0
2022-12-18 04:48:59.062910+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b400000d9426ac0000,294.0,0.0,3.48,99.0,0
2022-12-18 05:04:39.265833+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b200000dcc26ac0000,296.0,0.0,3.53,99.0,0
2022-12-18 05:20:19.062108+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b100000d5826ac0000,297.0,0.0,3.42,99.0,0
2022-12-18 05:36:00.959771+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b200000d9c26ac0000,296.0,0.0,3.48,99.0,0
2022-12-18 05:51:40.499747+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b200000db026ac0000,296.0,0.0,3.5,99.0,0
2022-12-18 06:07:21.674863+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b200000de426ac0000,296.0,0.0,3.56,99.0,0
2022-12-18 06:23:00.714989+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b200000d5826ac0000,296.0,0.0,3.42,99.0,0
2022-12-18 06:38:40.551217+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b300000d8826ac0000,295.0,0.0,3.46,99.0,0
2022-12-18 06:54:20.570898+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b200000dc426ac0000,296.0,0.0,3.52,99.0,0
2022-12-18 07:10:00.919753+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b200000d8026ac0000,296.0,0.0,3.46,99.0,0
2022-12-18 07:25:41.170536+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b300000d7026ac0000,295.0,0.0,3.44,99.0,0
2022-12-18 07:41:21.315632+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b200000d6426ac0000,296.0,0.0,3.43,99.0,0
2022-12-18 08:12:42.034845+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08b400000d8026ac0000,294.0,0.0,3.46,99.0,0
2022-12-18 08:28:25.596663+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08ae00000d6026ac0000,300.0,0.0,3.42,99.0,0
2022-12-18 08:44:05.906550+00:00,70B3D54991EB3BA5,ECHO #2,Echo,Crossden burn @ Greenford Farm,56.55409349771759,-2.7087453156770502,08af00000d6426ac0000,299.0,0.0,3.43,99.0,0
